ID,Type,SKU,"GTIN, UPC, EAN, or ISBN",Name,Published,Is featured?,Visibility in catalog,Short description,Description,Date sale price starts,Date sale price ends,Tax status,Tax class,In stock?,Stock,Low stock amount,Backorders allowed?,Sold individually?,Weight (kg),Length (cm),Width (cm),Height (cm),Allow customer reviews?,Purchase note,Sale price,Regular price,Categories,Tags,Shipping class,Images,Download limit,Download expiry days,Parent,Grouped products,Upsells,Cross-sells,External URL,Button text,Position,Variation Swatches,Attributes Swatches,Brands,Meta: _wpcom_is_markdown,Meta: XPSC_sale_status_updated,Meta: Productthumnail_videos,Meta: Fake_View_Show_icon,Meta: Fake_View_Show_icon_text,Meta: opt-select-reapter-style,Meta: _wxr_import_user_slug,Meta: _wxr_import_has_attachment_refs,Meta: product_meta_with_icon_tex,Meta: _wp_old_date,Meta: _yoast_wpseo_primary_product_cat,Meta: _yoast_wpseo_content_score,Meta: _yoast_wpseo_estimated-reading-time-minutes,Meta: _yoast_wpseo_title,Meta: _yoast_wpseo_metadesc,Meta: _yoast_wpseo_primary_product_brand,Meta: rs_page_bg_color
22181,simple,,,Samsung Galaxy S8 Happy Yellow Smiley Face Wearing Glasses Giving Thumbs Up Custom Printed Back Cover Design,1,0,visible,"<h3 class="""" data-start=""354"" data-end=""377""><strong data-start=""358"" data-end=""375"">Key Features:</strong></h3>
\n<ul>
\n 	<li data-start=""378"" data-end=""1152""><strong data-start=""380"" data-end=""406"">High-Quality Material:</strong> Made from <strong data-start=""417"" data-end=""447"">durable polycarbonate (PC)</strong> or <strong data-start=""451"" data-end=""463"">silicone</strong>, offering lightweight yet strong protection.</li>
\n 	<li data-start=""378"" data-end=""1152""><strong data-start=""513"" data-end=""549"">Vibrant &amp; Fade-Resistant Prints:</strong> Ultra HD <strong data-start=""559"" data-end=""581"">permanent printing</strong> with long-lasting colors for a stylish look.</li>
\n 	<li data-start=""378"" data-end=""1152""><strong data-start=""631"" data-end=""651"">Precise Cutouts:</strong> Designed for <strong data-start=""665"" data-end=""680"">perfect fit</strong>, providing easy access to all buttons, ports, and camera.</li>
\n 	<li data-start=""378"" data-end=""1152""><strong data-start=""743"" data-end=""766"">Slim &amp; Lightweight:</strong> Keeps your phone <strong data-start=""784"" data-end=""813"">sleek and pocket-friendly</strong> without adding bulk.</li>
\n 	<li data-start=""378"" data-end=""1152""><strong data-start=""839"" data-end=""871"">Scratch &amp; Impact Protection:</strong> Shields your phone against <strong data-start=""899"" data-end=""935"">scratches, dust, and minor drops</strong>.</li>
\n 	<li data-start=""378"" data-end=""1152""><strong data-start=""941"" data-end=""975"">Matte &amp; Glossy Finish Options:</strong> Choose between a <strong data-start=""993"" data-end=""1014"">smooth matte feel</strong> or a <strong data-start=""1020"" data-end=""1041"">shiny glossy look</strong> to match your style.</li>
\n 	<li data-start=""378"" data-end=""1152""><strong data-start=""1067"" data-end=""1096"">Easy to Install &amp; Remove:</strong> Snap-on design for a <strong data-start=""1118"" data-end=""1137"">hassle-free fit</strong> and removal.</li>
\n</ul>
